addressID,block,storey_range,streetID
64256,208,04 TO 06,64256
64257,307C,19 TO 21,64256
64258,319,01 TO 03,64256
64259,216,04 TO 06,64256
64260,556,07 TO 09,64260
64261,536,10 TO 12,64260
64262,560,04 TO 06,64260
64263,463,04 TO 06,64260
64264,476,01 TO 03,64260
64265,442,01 TO 03,64260
64266,578,07 TO 09,64260
64267,442,04 TO 06,64260
64268,445,01 TO 03,64260
64269,435,04 TO 06,64260
64271,466,07 TO 09,64260
64272,570,04 TO 06,64272
64273,345,04 TO 06,64272
64274,213,04 TO 06,64272
64275,126,01 TO 03,64272
64276,587,01 TO 03,64272
64277,121,10 TO 12,64272
64279,212,10 TO 12,64272
64280,301,04 TO 06,64272
64281,120,04 TO 06,64272
64282,121,04 TO 06,64272
64283,121,01 TO 03,64272
64284,256,01 TO 03,64284
64285,644,07 TO 09,64284
64286,178,04 TO 06,64284
64287,629,01 TO 03,64284
64288,155,04 TO 06,64284
64289,502,04 TO 06,64289
64290,154,07 TO 09,64289
64291,601,07 TO 09,64289
64292,535,07 TO 09,64289
64293,181,07 TO 09,64289
64295,533,01 TO 03,64289
64296,124,04 TO 06,64296
64297,728,01 TO 03,64296
64298,650,19 TO 21,64298
64299,650,10 TO 12,64298
64300,207,04 TO 06,64256
64301,307A,16 TO 18,64256
64302,310B,13 TO 15,64256
64303,575,01 TO 03,64260
64304,414,10 TO 12,64260
64305,536,07 TO 09,64260
64306,473,10 TO 12,64260
64307,466,01 TO 03,64260
64308,413,04 TO 06,64260
64309,419,04 TO 06,64260
64310,559,04 TO 06,64260
64311,412,01 TO 03,64260
64312,419,10 TO 12,64260
64313,325,07 TO 09,64272
64314,325,01 TO 03,64272
64315,229,04 TO 06,64272
64316,427,04 TO 06,64272
64317,229,07 TO 09,64272
64318,173,10 TO 12,64284
64319,179,01 TO 03,64289
64321,700B,04 TO 06,64296
64322,507,01 TO 03,64322
64323,625,10 TO 12,64323
64324,622,10 TO 12,64323
64325,353,07 TO 09,64325
64326,352,16 TO 18,64325
64327,588B,13 TO 15,64327
64328,588C,16 TO 18,64327
64329,439,01 TO 03,64260
64330,401,01 TO 03,64260
64331,439,10 TO 12,64260
64332,458,16 TO 18,64260
64333,101,07 TO 09,64272
64334,423,01 TO 03,64272
64335,501,10 TO 12,64289
64336,520,10 TO 12,64289
64337,710,16 TO 18,64322
64338,596A,28 TO 30,64327
64339,588B,07 TO 09,64327
64340,588A,10 TO 12,64327
64341,576,07 TO 09,64260
64342,623,07 TO 09,64323
64343,550,10 TO 12,64343
64344,424,07 TO 09,64343
64345,521,04 TO 06,64343
64346,418,04 TO 06,64346
64347,418,07 TO 09,64346
64348,102,07 TO 09,64348
64349,105,13 TO 15,64348
64350,74,07 TO 09,64350
64351,77,10 TO 12,64350
64352,125,07 TO 09,64350
64353,75,10 TO 12,64350
64354,426,01 TO 03,64350
64356,419,07 TO 09,64356
64357,502,01 TO 03,64357
64358,525,10 TO 12,64357
64359,540,04 TO 06,64357
64360,509,01 TO 03,64357
64361,545,04 TO 06,64357
64362,532,10 TO 12,64357
64364,536,10 TO 12,64357
64365,525,01 TO 03,64357
64366,542,07 TO 09,64357
64367,105,04 TO 06,64367
64368,628,07 TO 09,64367
64369,615,07 TO 09,64367
64370,704,01 TO 03,64367
64371,616,04 TO 06,64367
64372,713,04 TO 06,64367
64373,703,07 TO 09,64367
64374,704,07 TO 09,64367
64375,2,13 TO 15,64375
64376,1,10 TO 12,64375
64377,40,10 TO 12,64377
64378,32,04 TO 06,64377
64379,32,07 TO 09,64377
64380,42,10 TO 12,64380
64381,42,13 TO 15,64380
64382,41,07 TO 09,64380
64383,29,13 TO 15,64383
64384,57,07 TO 09,64383
64385,507,13 TO 15,64385
64386,93,04 TO 06,64348
64387,104,10 TO 12,64348
64388,428,07 TO 09,64350
64389,80,10 TO 12,64350
64390,182,16 TO 18,64350
64391,421,07 TO 09,64350
64392,119,04 TO 06,64350
64393,78,07 TO 09,64350
64394,547,04 TO 06,64357
64396,523,13 TO 15,64357
64397,748B,13 TO 15,64397
64398,747C,10 TO 12,64397
64400,748B,01 TO 03,64397
64401,702,04 TO 06,64367
64402,627,10 TO 12,64367
64403,622,10 TO 12,64367
64404,718,04 TO 06,64367
64405,126,01 TO 03,64367
64406,710,10 TO 12,64367
64407,143,01 TO 03,64367
64408,110,01 TO 03,64367
64409,110,10 TO 12,64367
64410,628,10 TO 12,64367
64411,761,04 TO 06,64411
64412,767,07 TO 09,64411
64413,771,13 TO 15,64411
64414,35,01 TO 03,64414
64415,6,01 TO 03,64414
64416,5,07 TO 09,64414
64417,166,07 TO 09,64417
64418,43,07 TO 09,64418
64419,61,10 TO 12,64419
64420,10,07 TO 09,64419
64421,655,07 TO 09,64421
64422,659,13 TO 15,64421
64423,415,19 TO 21,64346
64424,407,25 TO 27,64385
64425,405,16 TO 18,64385
64426,99,04 TO 06,64348
64427,94D,04 TO 06,64348
64428,99,10 TO 12,64348
64429,111,01 TO 03,64350
64430,529,07 TO 09,64357
64431,601,10 TO 12,64367
64432,611,13 TO 15,64367
64433,147,04 TO 06,64367
64434,112,10 TO 12,64367
64435,611,07 TO 09,64367
64436,762,13 TO 15,64411
64437,32,22 TO 24,64414
64438,14,13 TO 15,64414
64439,32,19 TO 21,64414
64440,1,04 TO 06,64419
64441,805,04 TO 06,64419
64442,670,07 TO 09,64442
64443,60,22 TO 24,64383
64444,94C,13 TO 15,64348
64445,634,07 TO 09,64367
64446,643,13 TO 15,64367
64447,115,07 TO 09,64367
64448,115,04 TO 06,64367
64449,10E,04 TO 06,64414
64450,115,04 TO 06,64450
64451,195,01 TO 03,64451
64452,313,01 TO 03,64452
64453,150A,01 TO 03,64453
64454,151,04 TO 06,64453
64455,112,04 TO 06,64450
64457,127,07 TO 09,64450
64458,144,07 TO 09,64450
64459,141,07 TO 09,64450
64460,122,07 TO 09,64450
64461,115,01 TO 03,64450
64462,195,04 TO 06,64451
64463,253,01 TO 03,64463
64464,236,04 TO 06,64463
64465,235,10 TO 12,64463
64466,285,13 TO 15,64463
64467,226,07 TO 09,64467
64468,214,04 TO 06,64467
64469,273A,28 TO 30,64469
64470,103,04 TO 06,64450
64471,124,01 TO 03,64450
64472,101,01 TO 03,64450
64473,155,13 TO 15,64451
64474,165,13 TO 15,64451
64475,155,10 TO 12,64451
64476,166,01 TO 03,64451
64477,226,10 TO 12,64467
64479,291,07 TO 09,64469
64480,273A,13 TO 15,64469
64481,443,04 TO 06,64481
64482,450,10 TO 12,64481
64483,444,10 TO 12,64481
64484,134,01 TO 03,64450
64485,187,04 TO 06,64451
64486,187,01 TO 03,64451
64487,261,04 TO 06,64463
64488,238,04 TO 06,64463
64489,212,04 TO 06,64467
64490,275,01 TO 03,64490
64491,272,01 TO 03,64490
64492,235,04 TO 06,64492
64493,239,01 TO 03,64492
64494,152,04 TO 06,64494
64495,212,07 TO 09,64495
64496,333,04 TO 06,64496
64497,318,01 TO 03,64496
64498,324,10 TO 12,64498
64499,528,01 TO 03,64499
64500,533,10 TO 12,64499
64501,503,04 TO 06,64501
64502,523,07 TO 09,64501
64503,539,04 TO 06,64501
64504,539,07 TO 09,64501
64505,131,10 TO 12,64505
64506,135,01 TO 03,64505
64507,178,04 TO 06,64507
64508,177,01 TO 03,64507
64509,258,07 TO 09,64490
64510,268,04 TO 06,64490
64512,161,13 TO 15,64494
64513,219,07 TO 09,64495
64514,210,04 TO 06,64495
64515,288C,07 TO 09,64515
64516,289E,07 TO 09,64515
64517,369,01 TO 03,64517
64518,370,04 TO 06,64517
64519,305,04 TO 06,64517
64520,358,04 TO 06,64517
64521,336,07 TO 09,64496
64522,331,04 TO 06,64498
64523,343,04 TO 06,64523
64524,420,01 TO 03,64524
64525,420,07 TO 09,64524
64526,384,22 TO 24,64526
64527,118,07 TO 09,64505
64528,108,04 TO 06,64505
64529,114,01 TO 03,64505
64530,137,04 TO 06,64505
64531,193,04 TO 06,64505
64532,180,07 TO 09,64507
64533,179,01 TO 03,64507
64534,175,04 TO 06,64507
64535,625,04 TO 06,64535
64536,216,10 TO 12,64495
64537,202,07 TO 09,64495
64538,288G,04 TO 06,64515
64539,325,04 TO 06,64498
64540,392,22 TO 24,64526
64541,393,25 TO 27,64526
64542,388,10 TO 12,64526
64543,390,22 TO 24,64526
64544,110,01 TO 03,64505
64545,172,25 TO 27,64507
64546,122,13 TO 15,64535
64547,223,07 TO 09,64547
64548,141,07 TO 09,64494
64549,141,10 TO 12,64494
64550,140,10 TO 12,64494
64551,141,04 TO 06,64494
64552,289B,07 TO 09,64515
64553,2,10 TO 12,64553
64554,28,10 TO 12,64554
64555,127C,07 TO 09,64555
64556,10A,25 TO 27,64556
64557,10B,22 TO 24,64556
64558,22,04 TO 06,64558
64559,52,04 TO 06,64558
64560,105,10 TO 12,64560
64561,131,07 TO 09,64554
64562,28,04 TO 06,64562
64563,28,01 TO 03,64562
64564,30,04 TO 06,64562
64565,26A,16 TO 18,64565
64566,26C,13 TO 15,64565
64567,127A,28 TO 30,64555
64569,127A,34 TO 36,64555
64570,148,10 TO 12,64570
64571,46,01 TO 03,64571
64572,62,04 TO 06,64572
64573,42,10 TO 12,64573
64574,42,04 TO 06,64573
64575,80C,13 TO 15,64575
64576,80B,13 TO 15,64575
64577,33,10 TO 12,64577
64578,18,04 TO 06,64578
64579,20,04 TO 06,64578
64580,20,01 TO 03,64578
64581,10A,16 TO 18,64556
64582,10A,31 TO 33,64556
64583,6B,13 TO 15,64556
64584,17,10 TO 12,64584
64585,4,07 TO 09,64585
64586,52,01 TO 03,64558
64587,12,04 TO 06,64554
64588,118A,01 TO 03,64565
64589,118D,07 TO 09,64565
64590,27A,01 TO 03,64565
64591,118A,04 TO 06,64565
64592,127C,16 TO 18,64555
64593,63A,16 TO 18,64593
64594,70,01 TO 03,64594
64595,75A,25 TO 27,64595
64596,76A,19 TO 21,64595
64597,50,01 TO 03,64571
64598,56,07 TO 09,64572
64599,9A,04 TO 06,64556
64600,115,16 TO 18,64600
64601,13,13 TO 15,64584
64602,104A,25 TO 27,64602
64603,118B,28 TO 30,64565
64604,121,19 TO 21,64604
64605,120A,19 TO 21,64604
64606,121,04 TO 06,64604
64607,119B,25 TO 27,64555
64608,48,07 TO 09,64593
64609,68,16 TO 18,64594
64610,87,07 TO 09,64594
64611,48,22 TO 24,64571
64612,88,07 TO 09,64572
64613,37,25 TO 27,64573
64614,547C,13 TO 15,64614
64615,488,13 TO 15,64614
64616,250,01 TO 03,64616
64617,454,16 TO 18,64617
64618,454,04 TO 06,64617
64619,229,01 TO 03,64619
