flatID,floor_area_sqm,leaseID,typeID,addressID
64256,73.0,64256,64256,64256
64257,70.0,64257,64257,64257
64258,73.0,64258,64256,64258
64259,73.0,64259,64256,64259
64260,68.0,64260,64256,64260
64261,68.0,64260,64256,64261
64262,67.0,64260,64256,64262
64263,82.0,64263,64256,64263
64264,67.0,64264,64256,64264
64265,67.0,64264,64256,64265
64266,67.0,64266,64256,64266
64267,67.0,64264,64256,64267
64268,67.0,64264,64256,64268
64269,67.0,64269,64256,64269
64270,67.0,64264,64256,64265
64271,67.0,64271,64256,64271
64272,67.0,64272,64256,64272
64273,88.0,64273,64256,64273
64274,67.0,64259,64256,64274
64275,67.0,64275,64256,64275
64276,67.0,64272,64256,64276
64277,67.0,64275,64256,64277
64278,73.0,64278,64256,64273
64279,67.0,64279,64256,64279
64280,88.0,64280,64256,64280
64281,67.0,64275,64256,64281
64282,67.0,64275,64256,64282
64283,67.0,64275,64256,64283
64284,73.0,64284,64256,64284
64285,75.0,64285,64256,64285
64286,82.0,64286,64256,64286
64287,68.0,64287,64256,64287
64288,82.0,64286,64256,64288
64289,82.0,64289,64256,64289
64290,68.0,64289,64256,64290
64291,67.0,64291,64256,64291
64292,67.0,64260,64256,64292
64293,68.0,64293,64256,64293
64294,67.0,64260,64256,64292
64295,67.0,64260,64256,64295
64296,67.0,64269,64256,64296
64297,82.0,64297,64256,64297
64298,67.0,64298,64257,64298
64299,67.0,64298,64257,64299
64300,98.0,64256,64300,64300
64301,97.0,64257,64301,64301
64302,94.0,64257,64301,64302
64303,91.0,64260,64300,64303
64304,92.0,64304,64300,64304
64305,93.0,64263,64300,64305
64306,91.0,64306,64300,64306
64307,93.0,64271,64300,64307
64308,92.0,64264,64300,64308
64309,99.0,64264,64300,64309
64310,92.0,64266,64300,64310
64311,92.0,64264,64300,64311
64312,99.0,64264,64300,64312
64313,98.0,64313,64300,64313
64314,98.0,64313,64300,64314
64315,91.0,64315,64300,64315
64316,92.0,64275,64300,64316
64317,91.0,64317,64300,64317
64318,91.0,64318,64300,64318
64319,91.0,64286,64300,64319
64320,91.0,64293,64300,64319
64321,90.0,64321,64301,64321
64322,91.0,64291,64300,64322
64323,92.0,64323,64300,64323
64324,100.0,64323,64300,64324
64325,90.0,64325,64301,64325
64326,95.0,64326,64301,64326
64327,90.0,64327,64327,64327
64328,90.0,64327,64327,64328
64329,119.0,64329,64329,64329
64330,119.0,64330,64329,64330
64331,119.0,64269,64329,64331
64332,120.0,64266,64329,64332
64333,117.0,64315,64333,64333
64334,133.0,64334,64329,64334
64335,121.0,64335,64329,64335
64336,118.0,64336,64329,64336
64337,117.0,64285,64329,64337
64338,110.0,64338,64329,64338
64339,120.0,64327,64339,64339
64340,117.0,64327,64339,64340
64341,163.0,64266,64341,64341
64342,150.0,64323,64341,64342
64343,68.0,64343,64256,64343
64344,67.0,64269,64256,64344
64345,67.0,64345,64256,64345
64346,67.0,64346,64256,64346
64347,82.0,64346,64256,64347
64348,67.0,64348,64256,64348
64349,82.0,64348,64256,64349
64350,59.0,64315,64350,64350
64351,60.0,64351,64350,64351
64352,67.0,64273,64256,64352
64353,59.0,64317,64350,64353
64354,67.0,64269,64256,64354
64355,59.0,64317,64350,64350
64356,68.0,64269,64256,64356
64357,59.0,64273,64350,64357
64358,67.0,64264,64256,64358
64359,68.0,64291,64256,64359
64360,67.0,64304,64256,64360
64361,82.0,64361,64256,64361
64362,68.0,64260,64256,64362
64363,67.0,64345,64256,64358
64364,82.0,64266,64256,64364
64365,67.0,64345,64256,64365
