leaseID,lease_commence_date,remaining_lease
64256,1976,55 years 07 months
64257,2012,91 years 08 months
64258,1977,56 years 04 months
64259,1976,55 years 03 months
64260,1980,59 years 01 month
64263,1980,59 years 02 months
64264,1979,58 years 07 months
64266,1980,59 years
64269,1979,58 years
64271,1984,63 years 08 months
64272,1979,58 years 05 months
64273,1978,57 years 04 months
64275,1978,57 years 09 months
64278,1978,57 years 03 months
64279,1977,56 years 03 months
64280,1978,57 years 02 months
64284,1977,56 years 07 months
64285,1980,59 years 10 months
64286,1981,60 years 04 months
64287,1981,60 years 09 months
64289,1981,60 years 01 month
64291,1980,59 years 06 months
64293,1981,60 years 03 months
64297,1980,59 years 09 months
64298,2015,94 years 11 months
64304,1979,58 years 08 months
64306,1984,63 years 07 months
64313,1978,57 years 08 months
64315,1978,57 years 01 month
64317,1978,57 years
64318,1982,61 years 01 month
64321,2003,82 years 08 months
64323,1980,59 years 08 months
64325,2001,80 years 08 months
64326,2001,80 years 09 months
64327,2011,90 years 07 months
64329,1979,58 years 01 month
64330,1979,58 years 04 months
64334,1993,72 years 03 months
64335,1981,60 years
64336,1980,59 years 07 months
64338,2002,81 years 11 months
64343,1980,59 years 05 months
64345,1979,58 years 06 months
64346,1978,57 years 10 months
64348,1977,56 years 06 months
64351,1986,65 years 03 months
64361,1980,59 years 04 months
64366,1985,64 years 08 months
64368,1983,62 years 01 month
64370,1981,60 years 06 months
64371,1982,61 years 05 months
64375,1976,55 years
64377,1974,53 years 01 month
64378,1974,53 years
64380,1985,64 years 06 months
64382,1985,64 years 05 months
64384,1985,64 years 09 months
64385,1978,57 years 11 months
64389,1978,57 years 06 months
64390,2006,85 years 02 months
64393,1978,57 years 05 months
64397,2014,93 years 08 months
64400,2014,93 years 07 months
64401,1980,59 years 11 months
64403,1981,60 years 02 months
64404,1984,63 years
64405,1987,66 years 03 months
64407,1987,66 years
64410,1983,62 years
64411,2000,79 years 11 months
64414,1977,56 years 08 months
64417,1985,64 years 02 months
64419,1982,61 years 09 months
64420,2001,80 years 01 month
64421,1996,75 years 11 months
64422,1996,75 years 09 months
64427,1993,72 years 04 months
64431,1982,61 years 04 months
64433,1987,66 years 01 month
64438,1995,74 years 11 months
64440,1983,62 years 07 months
64449,1993,72 years 05 months
64450,1986,65 years
64451,1988,67 years
64453,1989,68 years
64454,1989,68 years 02 months
64457,1986,65 years 11 months
64458,1988,67 years 07 months
64460,1986,65 years 01 month
64462,1988,67 years 01 month
64463,1992,71 years 07 months
64464,1992,71 years 04 months
64465,1992,71 years 03 months
64466,1992,71 years 06 months
64469,2011,90 years 08 months
64470,1986,65 years 10 months
64471,1987,66 years 05 months
64473,1987,66 years 11 months
64474,1988,67 years 08 months
64475,1987,66 years 10 months
64479,1998,77 years 05 months
64481,1990,69 years 01 month
64482,1989,69 years
64491,1986,65 years 08 months
64494,1998,77 years
64495,1985,64 years 07 months
64496,1987,67 years
64498,1988,67 years 04 months
64499,1987,66 years 06 months
64501,1987,66 years 07 months
64503,1987,66 years 04 months
64505,1984,64 years
64506,1984,63 years 11 months
64508,1985,64 years 01 month
64512,1984,63 years 06 months
64513,1985,64 years 03 months
64514,1985,64 years 04 months
64515,1998,77 years 08 months
64516,1998,77 years 01 month
64517,1985,65 years
64518,1985,64 years 10 months
64523,1987,66 years 02 months
64524,1988,67 years 05 months
64526,2005,84 years
64530,1984,63 years 09 months
64531,1997,76 years 05 months
64532,1984,63 years 10 months
64534,1985,64 years
64538,1997,76 years 10 months
64540,2004,83 years 09 months
64541,2004,83 years 10 months
64552,1997,77 years
64553,1971,50 years 06 months
64554,1967,46 years 05 months
64555,2013,92 years 02 months
64556,2016,95 years
64558,1969,48 years 06 months
64559,2013,92 years 04 months
64560,1975,54 years
64562,1969,48 years 07 months
64565,2008,88 years
64566,2009,88 years
64568,2013,92 years 01 month
64572,1976,55 years 08 months
64575,2013,92 years 08 months
64576,2013,92 years 07 months
64577,1976,55 years 04 months
64578,1973,52 years
64583,2005,84 years 09 months
64584,2003,82 years
64586,2013,92 years 05 months
64587,1996,75 years 10 months
64590,2008,87 years 11 months
64593,2001,80 years 10 months
64594,2001,80 years 07 months
64595,2005,85 years
64596,2005,84 years 11 months
64598,1976,55 years 09 months
64602,2000,79 years 06 months
64604,2001,80 years 02 months
64608,1986,65 years 07 months
64610,1995,74 years
64611,1976,55 years 10 months
64612,2003,82 years 02 months
64614,2015,94 years 06 months
64615,2014,93 years 11 months
64616,1988,67 years 10 months
64619,1988,67 years 11 months
64622,1989,68 years 06 months
64630,1988,68 years
64633,1999,78 years 05 months
64634,1988,67 years 06 months
64637,1988,67 years 09 months
64638,1989,68 years 10 months
64639,1989,68 years 09 months
64640,1998,77 years 04 months
64643,1999,78 years 01 month
64644,1999,78 years 04 months
64645,1998,77 years 03 months
64647,1997,76 years 09 months
64648,2001,80 years 11 months
64654,1998,77 years 07 months
64656,1988,67 years 03 months
64659,2014,94 years
64660,2015,94 years 08 months
64662,2002,81 years 08 months
64664,2012,91 years 10 months
64666,2015,94 years 07 months
64667,2002,81 years 06 months
64672,2002,81 years 03 months
64677,2015,94 years 10 months
64683,2015,94 years 09 months
64691,1997,76 years 07 months
64694,2003,82 years 04 months
64709,1997,76 years 06 months
64710,1989,68 years 01 month
64717,1974,53 years 03 months
64719,1989,68 years 03 months
64722,1984,63 years 05 months
64723,1974,53 years 06 months
64726,2011,90 years
64727,1983,62 years 10 months
64729,2015,94 years 02 months
64730,2015,94 years 01 month
64734,1990,69 years 05 months
64736,1990,69 years 04 months
64738,1993,72 years 06 months
64743,2000,79 years 03 months
64744,1997,76 years 02 months
64745,1997,76 years 03 months
64746,2000,79 years 04 months
64747,2013,92 years 06 months
64748,1999,78 years 03 months
64750,2003,82 years 05 months
64751,1999,78 years 11 months
64752,2002,81 years 09 months
64754,1999,78 years 10 months
64755,1999,78 years 09 months
64756,1989,68 years 04 months
64757,1989,68 years 11 months
64760,1995,74 years 08 months
64762,1995,74 years 05 months
64765,1989,68 years 05 months
64776,2003,82 years 07 months
64778,2000,79 years 01 month
64782,2003,82 years 03 months
64784,1996,75 years 07 months
64785,1996,75 years 03 months
64786,1995,74 years 09 months
64787,1994,73 years 10 months
64790,1996,75 years 06 months
64792,1996,75 years 05 months
64794,1997,76 years 11 months
64797,1979,58 years 02 months
64798,1989,68 years 08 months
64799,1990,69 years 08 months
64800,1999,78 years 06 months
64801,1990,69 years 07 months
64802,2000,79 years 02 months
64805,1995,74 years 07 months
64806,1996,75 years 01 month
64807,2013,92 years 09 months
64808,1978,57 years 07 months
64810,1978,58 years
64811,1981,60 years 08 months
64819,2012,91 years 06 months
64827,1979,58 years 10 months
64842,1973,52 years 06 months
64844,1967,46 years
64847,1967,46 years 01 month
64848,1971,50 years
64849,1969,48 years
64852,1972,51 years 10 months
64857,2006,85 years 10 months
64858,1982,61 years
64859,1983,62 years 11 months
64860,1976,55 years 06 months
64861,1982,61 years 10 months
64869,1983,62 years 09 months
64870,1977,56 years 05 months
64872,2007,86 years
64873,2005,84 years 04 months
64876,1986,65 years 05 months
64882,1986,65 years 02 months
64889,1975,54 years 06 months
64890,1975,54 years 07 months
64895,1983,62 years 06 months
64901,1987,66 years 09 months
64902,1986,65 years 06 months
64906,2014,93 years 10 months
64907,2016,95 years 03 months
64909,2016,95 years 02 months
64911,2003,82 years 06 months
64919,1992,71 years 10 months
64922,1985,64 years 11 months
64927,1992,71 years 09 months
64930,1987,66 years 08 months
64938,1998,77 years 06 months
64942,2015,94 years 05 months
64948,1988,67 years 02 months
64950,1999,78 years 08 months
64952,1997,76 years 04 months
64965,2015,94 years 04 months
64974,1991,70 years 06 months
64981,2014,93 years 01 month
64984,1983,62 years 03 months
64985,1982,61 years 07 months
64988,1966,45 years 09 months
64989,1983,62 years 05 months
64992,1982,61 years 11 months
64994,1983,62 years 02 months
64995,1984,63 years 04 months
64998,1984,63 years 02 months
65004,1998,77 years 09 months
65012,1979,58 years 09 months
65017,1998,77 years 10 months
65018,1998,77 years 11 months
65019,2014,93 years 04 months
65020,2015,94 years 03 months
65024,1974,53 years 09 months
65025,1976,55 years 11 months
65029,1972,51 years 01 month
65036,2015,94 years
65037,2014,93 years 05 months
65039,1995,74 years 06 months
65043,1998,77 years 02 months
65046,2003,82 years 09 months
65047,2002,81 years
65056,1984,63 years 03 months
65060,2001,80 years 03 months
65061,2001,80 years 04 months
65062,2001,80 years
65064,2000,79 years 08 months
65065,2000,79 years 10 months
65066,2001,80 years 05 months
65070,1993,72 years 09 months
65077,1989,68 years 07 months
65081,2008,87 years 08 months
